2023-03-21 23:09:23,109 - args: Namespace(dataset='Citeseer', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, enc_lr=0.001, enc_weight_decay=0.0001, k=6, x_dim=32, routit=4, gpu=-1, de_rate1=0.3, de_rate2=0.3, df_rate1=0.3, df_rate2=0.3, m=10, n=4, log_epoch=100, log_lr=0.01, log_weight_decay=0.002, log_trails=10, seed=1, argv=['/home/dell/zxj/cdg/main/main.py'], device=device(type='cuda', index=1))
2023-03-21 23:09:23,110 - ================================Encoder run=================================
2023-03-21 23:09:23,110 - seed:753
2023-03-21 23:09:29,150 - Epoch:093, loss:1.3680
2023-03-21 23:09:29,190 - Epoch:094, loss:1.3726
2023-03-21 23:09:29,228 - Epoch:095, loss:1.3483
2023-03-21 23:09:29,264 - Epoch:096, loss:1.4133
2023-03-21 23:09:29,303 - Epoch:097, loss:1.3724
2023-03-21 23:09:29,342 - Epoch:098, loss:1.3912
2023-03-21 23:09:29,381 - Epoch:099, loss:1.3487
2023-03-21 23:09:29,424 - Epoch:100, loss:1.3711
2023-03-21 23:09:29,463 - Epoch:101, loss:1.3725
2023-03-21 23:09:29,502 - Epoch:102, loss:1.3657
2023-03-21 23:09:29,541 - Epoch:103, loss:1.3897
2023-03-21 23:09:29,580 - Epoch:104, loss:1.3494
2023-03-21 23:09:29,616 - Epoch:105, loss:1.3618
2023-03-21 23:09:29,655 - Epoch:106, loss:1.4083
2023-03-21 23:09:29,694 - Epoch:107, loss:1.3636
2023-03-21 23:09:29,734 - Epoch:108, loss:1.3684
2023-03-21 23:09:29,773 - Epoch:109, loss:1.3605
2023-03-21 23:09:29,813 - Epoch:110, loss:1.3836
2023-03-21 23:09:29,849 - Epoch:111, loss:1.3406
2023-03-21 23:09:29,890 - Epoch:112, loss:1.3887
2023-03-21 23:09:29,927 - Epoch:113, loss:1.3483
2023-03-21 23:09:29,966 - Epoch:114, loss:1.3701
2023-03-21 23:09:30,006 - Epoch:115, loss:1.3685
2023-03-21 23:09:30,044 - Epoch:116, loss:1.3609
2023-03-21 23:09:30,082 - Epoch:117, loss:1.3457
2023-03-21 23:09:30,117 - Epoch:118, loss:1.3437
2023-03-21 23:09:30,157 - Epoch:119, loss:1.3681
2023-03-21 23:09:30,195 - Epoch:120, loss:1.3608
2023-03-21 23:09:30,231 - Epoch:121, loss:1.3411
2023-03-21 23:09:30,270 - Epoch:122, loss:1.3463
2023-03-21 23:09:30,309 - Epoch:123, loss:1.3453
2023-03-21 23:09:30,355 - Epoch:124, loss:1.3394
2023-03-21 23:09:30,390 - Epoch:125, loss:1.3829
2023-03-21 23:09:30,429 - Epoch:126, loss:1.3498
2023-03-21 23:09:30,469 - Epoch:127, loss:1.3591
2023-03-21 23:09:30,509 - Epoch:128, loss:1.3583
2023-03-21 23:09:30,547 - Epoch:129, loss:1.3603
2023-03-21 23:09:30,584 - Epoch:130, loss:1.3423
2023-03-21 23:09:30,623 - Epoch:131, loss:1.3569
2023-03-21 23:09:30,669 - Epoch:132, loss:1.3353
2023-03-21 23:09:30,705 - Epoch:133, loss:1.3833
2023-03-21 23:09:30,743 - Epoch:134, loss:1.3362
2023-03-21 23:09:30,782 - Epoch:135, loss:1.3849
2023-03-21 23:09:30,822 - Epoch:136, loss:1.3575
2023-03-21 23:09:30,861 - Epoch:137, loss:1.3647
2023-03-21 23:09:30,902 - Epoch:138, loss:1.3578
2023-03-21 23:09:30,942 - Epoch:139, loss:1.3797
2023-03-21 23:09:30,980 - Epoch:140, loss:1.3368
2023-03-21 23:09:31,017 - Epoch:141, loss:1.3406
2023-03-21 23:09:31,056 - Epoch:142, loss:1.4015
2023-03-21 23:09:31,094 - Epoch:143, loss:1.3363
2023-03-21 23:09:31,136 - Epoch:144, loss:1.3356
2023-03-21 23:09:31,175 - Epoch:145, loss:1.3994
2023-03-21 23:09:31,214 - Epoch:146, loss:1.3558
2023-03-21 23:09:31,254 - Epoch:147, loss:1.3453
2023-03-21 23:09:31,294 - Epoch:148, loss:1.4008
2023-03-21 23:09:31,333 - Epoch:149, loss:1.3808
2023-03-21 23:09:31,377 - Epoch:150, loss:1.3335
2023-03-21 23:09:31,407 - Epoch:151, loss:1.3600
2023-03-21 23:09:31,448 - Epoch:152, loss:1.3544
2023-03-21 23:09:31,487 - Epoch:153, loss:1.3422
2023-03-21 23:09:31,526 - Epoch:154, loss:1.3561
2023-03-21 23:09:31,566 - Epoch:155, loss:1.3539
2023-03-21 23:09:31,606 - Epoch:156, loss:1.3675
2023-03-21 23:09:31,644 - Epoch:157, loss:1.3387
2023-03-21 23:09:31,681 - Epoch:158, loss:1.3578
2023-03-21 23:09:31,720 - Epoch:159, loss:1.3407
2023-03-21 23:09:31,758 - Epoch:160, loss:1.3553
2023-03-21 23:09:31,798 - Epoch:161, loss:1.3988
2023-03-21 23:09:31,841 - Epoch:162, loss:1.4014
2023-03-21 23:09:31,880 - Epoch:163, loss:1.3617
2023-03-21 23:09:31,919 - Epoch:164, loss:1.3592
2023-03-21 23:09:31,959 - Epoch:165, loss:1.3536
2023-03-21 23:09:32,000 - Epoch:166, loss:1.3528
2023-03-21 23:09:32,039 - Epoch:167, loss:1.3362
2023-03-21 23:09:32,078 - Epoch:168, loss:1.3566
2023-03-21 23:09:32,124 - Epoch:169, loss:1.3276
2023-03-21 23:09:32,157 - Epoch:170, loss:1.3582
2023-03-21 23:09:32,187 - Epoch:171, loss:1.3604
2023-03-21 23:09:32,220 - Epoch:172, loss:1.3523
2023-03-21 23:09:32,255 - Epoch:173, loss:1.3384
2023-03-21 23:09:32,293 - Epoch:174, loss:1.3616
2023-03-21 23:09:32,338 - Epoch:175, loss:1.3275
2023-03-21 23:09:32,372 - Epoch:176, loss:1.3370
2023-03-21 23:09:32,413 - Epoch:177, loss:1.3987
2023-03-21 23:09:32,453 - Epoch:178, loss:1.3616
2023-03-21 23:09:32,495 - Epoch:179, loss:1.3601
2023-03-21 23:09:32,533 - Epoch:180, loss:1.4025
2023-03-21 23:09:32,573 - Epoch:181, loss:1.3344
2023-03-21 23:09:32,613 - Epoch:182, loss:1.3343
2023-03-21 23:09:32,652 - Epoch:183, loss:1.3318
2023-03-21 23:09:32,694 - Epoch:184, loss:1.3548
2023-03-21 23:09:32,731 - Epoch:185, loss:1.3725
2023-03-21 23:09:32,768 - Epoch:186, loss:1.3512
2023-03-21 23:09:32,807 - Epoch:187, loss:1.3487
2023-03-21 23:09:32,846 - Epoch:188, loss:1.3367
2023-03-21 23:09:32,885 - Epoch:189, loss:1.3492
2023-03-21 23:09:32,924 - Epoch:190, loss:1.3531
2023-03-21 23:09:32,960 - Epoch:191, loss:1.4244
2023-03-21 23:09:32,997 - Epoch:192, loss:1.3538
2023-03-21 23:09:33,037 - Epoch:193, loss:1.3505
2023-03-21 23:09:33,076 - Epoch:194, loss:1.3566
2023-03-21 23:09:33,115 - Epoch:195, loss:1.3721
2023-03-21 23:09:33,153 - Epoch:196, loss:1.3563
2023-03-21 23:09:33,187 - Epoch:197, loss:1.3977
2023-03-21 23:09:33,226 - Epoch:198, loss:1.3570
2023-03-21 23:09:33,262 - Epoch:199, loss:1.3375
2023-03-21 23:09:33,262 - step:175, best_loss:1.3275
2023-03-21 23:09:33,272 - ================================Encoder run ends=================================
2023-03-21 23:09:33,273 - ================================Log runs 1=================================
2023-03-21 23:09:33,353 - Log_epoch:000, log_loss:1.7950, train_acc:0.1583, val_acc:0.4760
2023-03-21 23:09:33,356 - Log_epoch:001, log_loss:1.6777, train_acc:0.4083, val_acc:0.6020
2023-03-21 23:09:33,360 - Log_epoch:002, log_loss:1.5692, train_acc:0.5667, val_acc:0.6480
2023-03-21 23:09:33,362 - Log_epoch:003, log_loss:1.4699, train_acc:0.5917, val_acc:0.6620
2023-03-21 23:09:33,365 - Log_epoch:004, log_loss:1.3797, train_acc:0.6083, val_acc:0.6640
2023-03-21 23:09:33,368 - Log_epoch:005, log_loss:1.2985, train_acc:0.6083, val_acc:0.6660
2023-03-21 23:09:33,371 - Log_epoch:006, log_loss:1.2259, train_acc:0.6333, val_acc:0.6700
2023-03-21 23:09:33,373 - Log_epoch:007, log_loss:1.1615, train_acc:0.6667, val_acc:0.6660
2023-03-21 23:09:33,376 - Log_epoch:008, log_loss:1.1046, train_acc:0.6750, val_acc:0.6700
2023-03-21 23:09:33,378 - Log_epoch:009, log_loss:1.0545, train_acc:0.6917, val_acc:0.6700
2023-03-21 23:09:33,381 - Log_epoch:010, log_loss:1.0104, train_acc:0.7083, val_acc:0.6700
2023-03-21 23:09:33,384 - Log_epoch:011, log_loss:0.9716, train_acc:0.7083, val_acc:0.6720
2023-03-21 23:09:33,386 - Log_epoch:012, log_loss:0.9373, train_acc:0.7167, val_acc:0.6700
2023-03-21 23:09:33,389 - Log_epoch:013, log_loss:0.9067, train_acc:0.7250, val_acc:0.6700
2023-03-21 23:09:33,391 - Log_epoch:014, log_loss:0.8794, train_acc:0.7333, val_acc:0.6680
2023-03-21 23:09:33,394 - Log_epoch:015, log_loss:0.8546, train_acc:0.7333, val_acc:0.6780
2023-03-21 23:09:33,397 - Log_epoch:016, log_loss:0.8320, train_acc:0.7417, val_acc:0.6800
2023-03-21 23:09:33,399 - Log_epoch:017, log_loss:0.8111, train_acc:0.7417, val_acc:0.6760
2023-03-21 23:09:33,401 - Log_epoch:018, log_loss:0.7917, train_acc:0.7417, val_acc:0.6780
2023-03-21 23:09:33,404 - Log_epoch:019, log_loss:0.7735, train_acc:0.7417, val_acc:0.6760
2023-03-21 23:09:33,406 - Log_epoch:020, log_loss:0.7563, train_acc:0.7417, val_acc:0.6740
2023-03-21 23:09:33,409 - Log_epoch:021, log_loss:0.7399, train_acc:0.7333, val_acc:0.6740
2023-03-21 23:09:33,411 - Log_epoch:022, log_loss:0.7243, train_acc:0.7500, val_acc:0.6720
2023-03-21 23:09:33,413 - Log_epoch:023, log_loss:0.7093, train_acc:0.7500, val_acc:0.6700
2023-03-21 23:09:33,416 - Log_epoch:024, log_loss:0.6950, train_acc:0.7667, val_acc:0.6660
2023-03-21 23:09:33,418 - Log_epoch:025, log_loss:0.6811, train_acc:0.7750, val_acc:0.6700
2023-03-21 23:09:33,421 - Log_epoch:026, log_loss:0.6677, train_acc:0.7750, val_acc:0.6700
2023-03-21 23:09:33,423 - Log_epoch:027, log_loss:0.6548, train_acc:0.7833, val_acc:0.6700
2023-03-21 23:09:33,426 - Log_epoch:028, log_loss:0.6424, train_acc:0.7917, val_acc:0.6660
2023-03-21 23:09:33,428 - Log_epoch:029, log_loss:0.6303, train_acc:0.8000, val_acc:0.6700
2023-03-21 23:09:33,430 - Log_epoch:030, log_loss:0.6187, train_acc:0.8000, val_acc:0.6680
2023-03-21 23:09:33,433 - Log_epoch:031, log_loss:0.6076, train_acc:0.8000, val_acc:0.6660
2023-03-21 23:09:33,435 - Log_epoch:032, log_loss:0.5968, train_acc:0.8083, val_acc:0.6660
2023-03-21 23:09:33,439 - Log_epoch:033, log_loss:0.5864, train_acc:0.8333, val_acc:0.6680
2023-03-21 23:09:33,444 - Log_epoch:034, log_loss:0.5765, train_acc:0.8583, val_acc:0.6680
2023-03-21 23:09:33,448 - Log_epoch:035, log_loss:0.5669, train_acc:0.8583, val_acc:0.6660
2023-03-21 23:09:33,453 - Log_epoch:036, log_loss:0.5577, train_acc:0.8583, val_acc:0.6660
