2023-03-21 22:27:29,729 - args: Namespace(dataset='Cora', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, enc_lr=0.001, enc_weight_decay=0.0001, k=6, x_dim=32, routit=4, gpu=-1, de_rate1=0.3, de_rate2=0.3, df_rate1=0.3, df_rate2=0.2, m=10, n=4, log_epoch=200, log_lr=0.01, log_weight_decay=0.0001, log_trails=10, seed=1, argv=['/home/dell/zxj/cdg/main/main.py'], device=device(type='cuda', index=1))
2023-03-21 22:27:29,729 - ================================Encoder run=================================
2023-03-21 22:27:29,729 - seed:768
2023-03-21 22:27:35,757 - Epoch:094, loss:1.4005
2023-03-21 22:27:35,799 - Epoch:095, loss:1.3840
2023-03-21 22:27:35,835 - Epoch:096, loss:1.4051
2023-03-21 22:27:35,878 - Epoch:097, loss:1.3614
2023-03-21 22:27:35,915 - Epoch:098, loss:1.3818
2023-03-21 22:27:35,954 - Epoch:099, loss:1.4221
2023-03-21 22:27:35,989 - Epoch:100, loss:1.3774
2023-03-21 22:27:36,029 - Epoch:101, loss:1.3612
2023-03-21 22:27:36,066 - Epoch:102, loss:1.3830
2023-03-21 22:27:36,109 - Epoch:103, loss:1.3517
2023-03-21 22:27:36,146 - Epoch:104, loss:1.3996
2023-03-21 22:27:36,184 - Epoch:105, loss:1.3618
2023-03-21 22:27:36,220 - Epoch:106, loss:1.3795
2023-03-21 22:27:36,259 - Epoch:107, loss:1.3557
2023-03-21 22:27:36,301 - Epoch:108, loss:1.4016
2023-03-21 22:27:36,338 - Epoch:109, loss:1.3536
2023-03-21 22:27:36,380 - Epoch:110, loss:1.3500
2023-03-21 22:27:36,422 - Epoch:111, loss:1.3976
2023-03-21 22:27:36,459 - Epoch:112, loss:1.4039
2023-03-21 22:27:36,497 - Epoch:113, loss:1.3579
2023-03-21 22:27:36,536 - Epoch:114, loss:1.3987
2023-03-21 22:27:36,573 - Epoch:115, loss:1.3517
2023-03-21 22:27:36,606 - Epoch:116, loss:1.3731
2023-03-21 22:27:36,639 - Epoch:117, loss:1.3765
2023-03-21 22:27:36,674 - Epoch:118, loss:1.3730
2023-03-21 22:27:36,712 - Epoch:119, loss:1.3723
2023-03-21 22:27:36,750 - Epoch:120, loss:1.3767
2023-03-21 22:27:36,791 - Epoch:121, loss:1.3749
2023-03-21 22:27:36,831 - Epoch:122, loss:1.3693
