2023-03-21 22:55:09,487 - args: Namespace(dataset='Pubmed', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, enc_lr=0.001, enc_weight_decay=0.0001, k=8, x_dim=32, routit=4, gpu=-1, de_rate1=0.3, de_rate2=0.3, df_rate1=0.3, df_rate2=0.2, m=12, n=4, log_epoch=100, log_lr=0.01, log_weight_decay=0.002, log_trails=10, seed=1, argv=['/home/dell/zxj/cdg/main/main.py'], device=device(type='cuda', index=1))
2023-03-21 22:55:09,487 - ================================Encoder run=================================
2023-03-21 22:55:09,488 - seed:356
2023-03-21 22:55:18,206 - Epoch:093, loss:1.3939
2023-03-21 22:55:18,270 - Epoch:094, loss:1.4153
2023-03-21 22:55:18,336 - Epoch:095, loss:1.3844
2023-03-21 22:55:18,399 - Epoch:096, loss:1.3971
2023-03-21 22:55:18,463 - Epoch:097, loss:1.3929
2023-03-21 22:55:18,528 - Epoch:098, loss:1.3949
2023-03-21 22:55:18,592 - Epoch:099, loss:1.3962
2023-03-21 22:55:18,658 - Epoch:100, loss:1.3803
2023-03-21 22:55:18,721 - Epoch:101, loss:1.4081
2023-03-21 22:55:18,786 - Epoch:102, loss:1.3941
2023-03-21 22:55:18,851 - Epoch:103, loss:1.3818
2023-03-21 22:55:18,915 - Epoch:104, loss:1.4065
2023-03-21 22:55:18,981 - Epoch:105, loss:1.3735
2023-03-21 22:55:19,044 - Epoch:106, loss:1.4080
2023-03-21 22:55:19,109 - Epoch:107, loss:1.4039
2023-03-21 22:55:19,173 - Epoch:108, loss:1.3899
2023-03-21 22:55:19,237 - Epoch:109, loss:1.4055
2023-03-21 22:55:19,302 - Epoch:110, loss:1.4074
2023-03-21 22:55:19,369 - Epoch:111, loss:1.3730
2023-03-21 22:55:19,434 - Epoch:112, loss:1.3741
2023-03-21 22:55:19,497 - Epoch:113, loss:1.4048
2023-03-21 22:55:19,561 - Epoch:114, loss:1.3939
2023-03-21 22:55:19,626 - Epoch:115, loss:1.4208
2023-03-21 22:55:19,690 - Epoch:116, loss:1.3945
2023-03-21 22:55:19,763 - Epoch:117, loss:1.3921
2023-03-21 22:55:19,828 - Epoch:118, loss:1.4011
2023-03-21 22:55:19,892 - Epoch:119, loss:1.4391
2023-03-21 22:55:19,957 - Epoch:120, loss:1.3746
2023-03-21 22:55:20,021 - Epoch:121, loss:1.3881
2023-03-21 22:55:20,086 - Epoch:122, loss:1.4200
2023-03-21 22:55:20,150 - Epoch:123, loss:1.3871
2023-03-21 22:55:20,214 - Epoch:124, loss:1.3859
2023-03-21 22:55:20,279 - Epoch:125, loss:1.3879
2023-03-21 22:55:20,342 - Epoch:126, loss:1.3940
2023-03-21 22:55:20,407 - Epoch:127, loss:1.4320
2023-03-21 22:55:20,471 - Epoch:128, loss:1.4180
2023-03-21 22:55:20,538 - Epoch:129, loss:1.3684
2023-03-21 22:55:20,603 - Epoch:130, loss:1.3707
2023-03-21 22:55:20,668 - Epoch:131, loss:1.3881
2023-03-21 22:55:20,733 - Epoch:132, loss:1.3838
2023-03-21 22:55:20,797 - Epoch:133, loss:1.3648
2023-03-21 22:55:20,862 - Epoch:134, loss:1.3818
2023-03-21 22:55:20,925 - Epoch:135, loss:1.4059
2023-03-21 22:55:20,990 - Epoch:136, loss:1.3702
2023-03-21 22:55:21,054 - Epoch:137, loss:1.3724
2023-03-21 22:55:21,125 - Epoch:138, loss:1.4014
2023-03-21 22:55:21,189 - Epoch:139, loss:1.3767
2023-03-21 22:55:21,254 - Epoch:140, loss:1.3828
2023-03-21 22:55:21,317 - Epoch:141, loss:1.3957
2023-03-21 22:55:21,378 - Epoch:142, loss:1.3694
2023-03-21 22:55:21,443 - Epoch:143, loss:1.3845
2023-03-21 22:55:21,508 - Epoch:144, loss:1.4120
2023-03-21 22:55:21,572 - Epoch:145, loss:1.3711
2023-03-21 22:55:21,637 - Epoch:146, loss:1.3787
2023-03-21 22:55:21,701 - Epoch:147, loss:1.3990
2023-03-21 22:55:21,766 - Epoch:148, loss:1.3625
2023-03-21 22:55:21,830 - Epoch:149, loss:1.3808
2023-03-21 22:55:21,895 - Epoch:150, loss:1.3785
2023-03-21 22:55:21,960 - Epoch:151, loss:1.3812
2023-03-21 22:55:22,023 - Epoch:152, loss:1.3650
2023-03-21 22:55:22,089 - Epoch:153, loss:1.3838
2023-03-21 22:55:22,157 - Epoch:154, loss:1.3621
2023-03-21 22:55:22,222 - Epoch:155, loss:1.4001
2023-03-21 22:55:22,285 - Epoch:156, loss:1.4148
2023-03-21 22:55:22,351 - Epoch:157, loss:1.3795
2023-03-21 22:55:22,417 - Epoch:158, loss:1.3617
2023-03-21 22:55:22,482 - Epoch:159, loss:1.3788
2023-03-21 22:55:22,543 - Epoch:160, loss:1.3810
2023-03-21 22:55:22,604 - Epoch:161, loss:1.3767
2023-03-21 22:55:22,670 - Epoch:162, loss:1.3609
2023-03-21 22:55:22,735 - Epoch:163, loss:1.3619
2023-03-21 22:55:22,798 - Epoch:164, loss:1.3947
2023-03-21 22:55:22,862 - Epoch:165, loss:1.4111
2023-03-21 22:55:22,928 - Epoch:166, loss:1.3609
2023-03-21 22:55:22,992 - Epoch:167, loss:1.3752
2023-03-21 22:55:23,056 - Epoch:168, loss:1.4079
2023-03-21 22:55:23,120 - Epoch:169, loss:1.3972
2023-03-21 22:55:23,186 - Epoch:170, loss:1.3747
2023-03-21 22:55:23,250 - Epoch:171, loss:1.3610
2023-03-21 22:55:23,314 - Epoch:172, loss:1.3757
2023-03-21 22:55:23,380 - Epoch:173, loss:1.3589
2023-03-21 22:55:23,445 - Epoch:174, loss:1.3934
2023-03-21 22:55:23,509 - Epoch:175, loss:1.4073
2023-03-21 22:55:23,569 - Epoch:176, loss:1.3734
2023-03-21 22:55:23,630 - Epoch:177, loss:1.3687
2023-03-21 22:55:23,694 - Epoch:178, loss:1.3643
2023-03-21 22:55:23,756 - Epoch:179, loss:1.3881
2023-03-21 22:55:23,821 - Epoch:180, loss:1.3709
2023-03-21 22:55:23,885 - Epoch:181, loss:1.3786
2023-03-21 22:55:23,950 - Epoch:182, loss:1.3596
2023-03-21 22:55:24,013 - Epoch:183, loss:1.3792
2023-03-21 22:55:24,076 - Epoch:184, loss:1.3797
2023-03-21 22:55:24,139 - Epoch:185, loss:1.3762
2023-03-21 22:55:24,201 - Epoch:186, loss:1.3620
2023-03-21 22:55:24,265 - Epoch:187, loss:1.3952
2023-03-21 22:55:24,328 - Epoch:188, loss:1.3774
2023-03-21 22:55:24,393 - Epoch:189, loss:1.3728
2023-03-21 22:55:24,457 - Epoch:190, loss:1.3596
2023-03-21 22:55:24,520 - Epoch:191, loss:1.3756
2023-03-21 22:55:24,586 - Epoch:192, loss:1.3583
2023-03-21 22:55:24,657 - Epoch:193, loss:1.3715
2023-03-21 22:55:24,721 - Epoch:194, loss:1.3711
2023-03-21 22:55:24,786 - Epoch:195, loss:1.3555
2023-03-21 22:55:24,849 - Epoch:196, loss:1.3933
2023-03-21 22:55:24,912 - Epoch:197, loss:1.3732
2023-03-21 22:55:24,978 - Epoch:198, loss:1.3744
2023-03-21 22:55:25,042 - Epoch:199, loss:1.3888
2023-03-21 22:55:25,042 - step:195, best_loss:1.3555
2023-03-21 22:55:25,054 - ================================Encoder run ends=================================
2023-03-21 22:55:25,054 - ================================Log runs 1=================================
2023-03-21 22:55:25,128 - Log_epoch:000, log_loss:1.1474, train_acc:0.1500, val_acc:0.6340
2023-03-21 22:55:25,132 - Log_epoch:001, log_loss:0.9820, train_acc:0.7000, val_acc:0.7200
2023-03-21 22:55:25,135 - Log_epoch:002, log_loss:0.8423, train_acc:0.8167, val_acc:0.7440
2023-03-21 22:55:25,138 - Log_epoch:003, log_loss:0.7275, train_acc:0.8167, val_acc:0.7540
2023-03-21 22:55:25,141 - Log_epoch:004, log_loss:0.6352, train_acc:0.8333, val_acc:0.7700
2023-03-21 22:55:25,145 - Log_epoch:005, log_loss:0.5617, train_acc:0.8333, val_acc:0.7820
2023-03-21 22:55:25,148 - Log_epoch:006, log_loss:0.5031, train_acc:0.8333, val_acc:0.7860
2023-03-21 22:55:25,151 - Log_epoch:007, log_loss:0.4561, train_acc:0.8500, val_acc:0.7920
2023-03-21 22:55:25,154 - Log_epoch:008, log_loss:0.4178, train_acc:0.8500, val_acc:0.7940
2023-03-21 22:55:25,157 - Log_epoch:009, log_loss:0.3861, train_acc:0.8667, val_acc:0.7860
2023-03-21 22:55:25,159 - Log_epoch:010, log_loss:0.3595, train_acc:0.8833, val_acc:0.7940
2023-03-21 22:55:25,163 - Log_epoch:011, log_loss:0.3368, train_acc:0.9000, val_acc:0.7960
